author,month,no_of_ratings,opinions,position,rating,readers,title
Lucinda Riley,7/2020,1564,453,10,"7,7",8882,Siedem sióstr
Paulina Świst,6/2020,1330,235,21,"7,3",2135,Przekręt
Anna Wolf,7/2020,2596,459,11,"7,1",4572,Serce gangstera
Remigiusz Mróz,7/2020,2406,380,12,"7,2",3870,Lot 202
Alicja Sinicka,7/2020,1827,362,13,"7,1",3594,Oczy wilka
Abby Jimenez,7/2020,2132,475,14,"7,6",3796,To tylko przyjaciel
Katarzyna Kubera,7/2020,563,149,15,"7,1",973,Uwieść ochroniarza
Shelby Mahurin,7/2020,1814,340,16,"7,4",4569,Gołąb i wąż
Ruth Ware,7/2020,1007,212,17,"7,2",2347,Pod kluczem
Casey McQuiston,7/2020,1616,341,18,"7,4",3897,"Red, White & Royal Blue"
Casey McQuiston,6/2020,1616,341,22,"7,4",3897,"Red, White & Royal Blue"
Shelby Mahurin,6/2020,1814,340,23,"7,4",4569,Gołąb i wąż
Przemysław Piotrowski,6/2020,3405,843,24,"7,8",6318,Piętno
B.A. Paris,6/2020,20101,2752,25,"7,5",32891,Za zamkniętymi drzwiami
Diane Setterfield,6/2020,1876,442,26,"7,5",5919,Była sobie rzeka
Yuval Noah Harari,6/2020,7028,763,27,"8,3",22074,Sapiens. Od zwierząt do bogów
Kinga Litkowiec,6/2020,403,154,28,"7,6",1146,Nie mój dług
Jordan Peterson,6/2020,952,136,29,"7,8",5012,12 życiowych zasad. Antidotum na chaos
Kristen Callihan,6/2020,932,192,30,"7,3",1610,Niegrzeczny idol
Cora Reilly,6/2020,1242,144,31,"7,6",2244,Złączeni zemstą
Jakub Ćwiek,6/2020,983,242,32,"6,8",1798,Topiel
Aldous Huxley,6/2020,18593,1322,33,"7,8",38247,Nowy wspaniały świat
Alix E. Harrow,6/2020,398,109,34,"7,2",2352,Dziesięć tysięcy drzwi
Dan Simmons,6/2020,374,108,35,"7,3",1898,Abominacja
George Orwell,6/2020,21177,2359,36,"8,5",66706,Rok 1984
Belle Aurora,7/2020,1013,164,19,"7,5",1652,Lev
