author,month,no_of_ratings,opinions,position,rating,readers,title
Chantal Fernando,9/2020,554,88,95,"7,3",956,Arrow's Hell
Yuval Noah Harari,9/2020,3298,339,96,"7,7",11372,21 lekcji na XXI wiek
Brittainy C. Cherry,9/2020,483,71,97,"7,9",958,Landon & Shay. Tom 1
Joanna Gierak-Onoszko,9/2020,3962,574,22,"8,2",10531,27 śmierci Toby’ego Obeda
Alicja Sinicka,9/2020,2582,639,23,"6,9",5240,Stażystka
Anna Todd,9/2020,8304,921,24,"7,2",15899,After. Płomień pod moją skórą
Max Czornyj,9/2020,999,236,25,"7,6",1976,Zimny chirurg
Elena Ferrante,9/2020,550,111,26,"6,8",1424,Zakłamane życie dorosłych
Beata Majewska,9/2020,299,88,27,"7,4",658,"Pamiętaj, że byłam"
Marek Stelar,9/2020,562,156,28,"7,4",1177,Blizny
Yuval Noah Harari,9/2020,7028,763,29,"8,3",22074,Sapiens. Od zwierząt do bogów
Eliana Lascaris,9/2020,308,109,30,"7,1",681,Patron
Vi Keeland,9/2020,703,124,31,"7,8",1280,Park Avenue
Penelope Ward,9/2020,3289,471,32,"7,5",7191,Problem trzech ciał
Cixin Liu,9/2020,878,137,33,"7,8",1789,Złączeni miłością
Daniel Kahneman,9/2020,1913,210,60,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Kristen Ashley,9/2020,579,162,98,"7,5",1019,Od pierwszego wejrzenia
Ali Smith,9/2020,246,43,99,"7,0",1139,Jesień
K.N. Haner,9/2020,1000,265,100,"7,1",2010,Złe miejsce
Cora Reilly,9/2020,1242,144,34,"7,6",2244,Złączeni zemstą
Cora Reilly,9/2020,3100,363,35,"7,7",5369,Złączeni honorem
Cora Reilly,9/2020,438,145,36,"7,6",1363,Paradoks
Artur Urbanowicz,9/2020,463,69,37,"7,0",955,Grzeszny Zdobywca
Laurelin Paige,9/2020,494,124,38,"7,0",920,Bentley
Melanie Moreland,9/2020,490,92,39,"7,1",802,Money Man
Terri E. Laine,9/2020,257,136,40,"6,7",518,Zemsta ma twoje imię
Jennifer Niven,5/2020,3376,481,41,"8,2",9777,Wszystkie jasne miejsca
Kristin Hannah,5/2020,8415,1266,42,"8,3",17094,Słowik
Małgorzata Oliwia Sobczak,5/2020,1628,412,43,"7,2",2880,Czerwień
Cora Reilly,5/2020,2195,248,44,"7,7",3532,Złączeni nienawiścią
Eva García Sáenz de Urturi,5/2020,3537,700,45,"7,8",7271,Cisza białego miasta
Elena Ferrante,5/2020,4053,471,46,"7,5",9341,Genialna przyjaciółka
Cezary Głuch,5/2020,730,304,47,"9,3",1619,Inteligentny Inwestor XXI Wieku - Tom I
Heather Morris,5/2020,14246,1939,48,"7,3",25303,Tatuażysta z Auschwitz
Harlan Coben,5/2020,1373,842,49,"7,6",14527,W głębi lasu
Penelope Douglas,5/2020,416,93,50,"7,8",906,Hideaway
Gabriel García Márquez,5/2020,16920,1088,51,"7,9",37718,Sto lat samotności
Ewa Przydryga,5/2020,537,290,52,"7,0",991,Bliżej niż myślisz
Daniel Kahneman,5/2020,1913,210,53,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Margaret Atwood,5/2020,10625,1316,54,"7,3",23169,Opowieść podręcznej
Diana Gabaldon,5/2020,3251,438,55,"7,6",8611,Obca
Dawid Myśliwiec,5/2020,451,93,56,"8,0",1981,"Przepis na człowieka, czyli krótki wstęp do odpowiedzi na pytanie: dlaczego jesteśmy, jacy jesteśmy"
Harper Lee,5/2020,13550,1063,57,"8,2",34963,Zabić drozda
Ewelina Dobosz,5/2020,482,164,58,"6,8",854,Nowa tożsamość
K. Bromberg,5/2020,370,70,59,"7,5",786,Opór
Alicja Sinicka,5/2020,1076,310,60,"7,3",2028,Obserwatorka
Michaił Bułhakow,8/2020,2864,2854,81,"8,4",80814,Mistrz i Małgorzata
Sandra Robins,8/2020,252,88,82,"7,2",436,Miłość na sprzedaż
Leigh Bardugo,8/2020,5924,694,83,"8,3",14513,Szóstka wron
Wiktor Krajewski,8/2020,137,51,84,"7,4",546,Chciałbym nigdy cię nie poznać
Katarzyna Berenika Miszczuk,8/2020,9300,1500,85,"7,2",17089,Szeptucha
Viktor E. Frankl,8/2020,4708,491,86,"8,0",13631,Człowiek w poszukiwaniu sensu
Joanna Jax,8/2020,319,60,87,"7,3",712,Drugi brzeg
Melissa Darwood,8/2020,1807,475,88,"7,8",2969,Mój szef
Alicja Sinicka,8/2020,613,118,89,"7,7",1177,Otwórz oczy
Agnieszka Siepielska,5/2020,1185,208,21,"8,0",1896,Antonio
Lew Tołstoj,8/2020,12057,767,90,"7,8",31588,Anna Karenina
Holly Black,8/2020,3728,506,91,"7,4",7918,Okrutny książę
Esi Edugyan,8/2020,419,88,92,"7,2",1610,Washington Black
Matt Ruff,8/2020,169,65,93,"6,2",377,Kraina Lovecrafta
Stephen King,8/2020,4145,705,94,"7,6",8164,Instytut
Łukasz Orbitowski,8/2020,2498,408,95,"7,7",5537,Kult
Rachel Abbott,8/2020,581,141,96,"7,4",1247,Gra w morderstwo
Gabriel García Márquez,8/2020,16920,1088,97,"7,9",37718,Sto lat samotności
Cora Reilly,8/2020,1492,179,98,"7,7",2623,Złączeni pokusą
Jay Kristoff,8/2020,1277,175,99,"8,0",4491,Nibynoc
K. Bromberg,8/2020,271,50,100,"7,3",569,Pojednanie
Meg Adams,5/2020,1046,232,22,"7,6",1924,Ochroniarz
Carlos Ruiz Zafón,5/2020,44032,4214,23,"8,2",78725,Cień wiatru
Rebecca Makkai,5/2020,1220,217,24,"7,8",4378,Wierzyliśmy jak nikt
Colleen Hoover,5/2020,1349,255,25,"7,8",3462,Gdyby nie ty
Vi Keeland,5/2020,1119,135,26,"7,1",1922,Naga prawda
Éric-Emmanuel Schmitt,5/2020,5793,3275,27,"8,1",59516,Oskar i Pani Róża
George Orwell,5/2020,21177,2359,28,"8,5",66706,Rok 1984
Stephen King,5/2020,1151,237,29,"6,7",2413,Jest krew…
Samantha Young,5/2020,1118,193,30,"7,5",1968,Niedopasowani
Kristen Callihan,5/2020,3962,574,31,"8,2",10531,27 śmierci Toby’ego Obeda
Joanna Gierak-Onoszko,5/2020,723,98,32,"7,4",4242,Czarny łabędź. Jak nieprzewidywalne zdarzenia rządzą naszym życiem
Nassim Nicholas Taleb,5/2020,539,149,33,"7,0",1078,"Zapomnij, że istniałem"
Beata Majewska,5/2020,1521,284,34,"7,6",3973,Dom ziemi i krwi. Część 1
Sarah J. Maas,5/2020,3925,402,35,"7,4",6171,Ekstradycja
Remigiusz Mróz,5/2020,1543,295,36,"7,4",2542,Rhys
Agnieszka Siepielska,5/2020,2873,366,37,"7,9",8232,Włam się do mózgu
Radosław Kotarski,5/2020,11234,1851,38,"7,8",28746,Małe życie
Hanya Yanagihara,5/2020,999,263,39,"7,4",1714,Czerń
Małgorzata Oliwia Sobczak,5/2020,1652,252,40,"7,3",3341,Raw
Vi Keeland,4/2021,160,61,81,"7,8",477,Najpiękniejsza pamiątka
Penelope Ward,4/2021,1913,210,82,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Daniel Kahneman,4/2021,6385,393,83,"7,2",11947,Niewinny
Harlan Coben,4/2021,155,47,84,"7,3",288,Wybrana przez mafię
Adelina Tulińska,4/2021,1184,227,85,"7,3",3016,Bezmatek
Mira Marcinów,4/2021,13,4,86,"7,0",161,Koniec pieniądza papierowego
Roland Baader,4/2021,1006,149,87,"8,1",2338,Stulecie Winnych
Ałbena Grabowska,4/2021,11234,1851,88,"7,8",28746,Małe życie
Hanya Yanagihara,4/2021,181,74,89,"7,6",370,Mam coś twojego
Katarzyna Bester,4/2021,13550,1063,90,"8,2",34963,Zabić drozda
Harper Lee,4/2021,213,125,91,"8,1",467,Utraceni
Marcel Moss,4/2021,508,59,92,"7,4",1939,Król z bliznami
Leigh Bardugo,4/2021,332,131,93,"7,5",680,Licho nie śpi
Emilia Szelest,4/2021,126,50,94,"7,3",476,Blef
S.K. Barnett,4/2021,92,28,95,"7,5",467,Idealna rodzina
Lisa Jewell,4/2021,667,158,96,"7,7",1221,Pretty Reckless
L.J. Shen,4/2021,170,67,97,"7,9",288,Podstępne serce
Lena M. Bielska,4/2021,158,50,98,"7,5",266,Gangsterskie tajemnice
Corinne Michaels,4/2021,721,213,21,"7,6",1359,Wróć do mnie
Meg Adams,4/2021,69,27,99,"8,1",310,Pomiędzy
Paweł Radziszewski,4/2021,652,169,100,"7,5",1190,Dziedzic podziemia. Szept diabła
Sarah J. Maas,4/2021,8186,1011,22,"7,8",15770,Dwór cierni i róż
Carlos Ruiz Zafón,4/2021,44032,4214,23,"8,2",78725,Cień wiatru
Agata Polte,4/2021,551,236,24,"8,1",953,Żelazne zasady
Sarah J. Maas,4/2021,102,18,25,"7,6",1109,Dwór srebrnych płomieni
Dmitry Glukhovsky,4/2021,243,56,26,"6,9",1091,Outpost
Kazuo Ishiguro,4/2021,233,57,27,"7,6",1027,Klara i słońce
Ałbena Grabowska,4/2021,96,64,28,"7,5",601,"Rzeki płyną, jak chcą"
Leigh Bardugo,4/2021,2647,228,29,"7,1",4985,Oblężenie i nawałnica
Mariana Leky,4/2021,98,54,30,"8,0",867,Sen o okapi
Melissa Darwood,4/2021,1807,475,31,"7,8",2969,Mój szef
L.J. Shen,4/2021,267,59,32,"8,5",615,Broken Knight
Wojciech Chmielarz,5/2020,3507,903,1,"7,1",5388,Wyrwa
Cora Reilly,4/2021,78,13,33,"8,5",429,Złamane emocje
I.M. Darkss,4/2021,113,19,34,"7,4",566,Ten zakazany
Stuart Turton,4/2021,260,82,35,"7,3",1259,Demon i mroczna toń
Kristin Hannah,4/2021,8415,1266,36,"8,3",17094,Słowik
Kristen Callihan,4/2021,618,176,37,"7,8",1044,Ukochany wróg
Maciej Siembieda,4/2021,117,47,38,"8,4",458,Kukły
Brandon Sanderson,4/2021,232,31,39,"8,6",1377,Rytm wojny. Część 1
Jakub Ćwiek,4/2021,306,99,40,"7,8",646,Drelich. Prosto w splot
Alicja Sinicka,5/2020,2582,639,2,"6,9",5240,Stażystka
Piotr Głuchowski,5/2020,527,59,3,"7,1",1394,Zatoka świń
Bożena Aksamit,5/2020,2596,459,4,"7,1",4572,Serce gangstera
Anna Wolf,5/2020,2406,380,5,"7,2",3870,Lot 202
Remigiusz Mróz,5/2020,12495,1908,6,"7,4",21616,Pacjentka
Alex Michaelides,5/2020,1764,282,7,"7,3",3945,Unorthodox. Jak porzuciłam świat ortodoksyjnych Żydów
Deborah Feldman,5/2020,1492,179,8,"7,7",2623,Złączeni pokusą
Cora Reilly,5/2020,4412,751,9,"8,0",11621,Gdzie śpiewają raki
Delia Owens,5/2020,1443,210,10,"7,5",2480,Zemsta gangstera
Anna Wolf,5/2020,3100,363,11,"7,7",5369,Złączeni honorem
Cora Reilly,5/2020,1564,453,12,"7,7",8882,Siedem sióstr
Lucinda Riley,5/2020,1876,442,13,"7,5",5919,Była sobie rzeka
Diane Setterfield,5/2020,20101,2752,14,"7,5",32891,Za zamkniętymi drzwiami
B.A. Paris,5/2020,18593,1322,15,"7,8",38247,Nowy wspaniały świat
Aldous Huxley,5/2020,1006,149,16,"8,1",2338,Stulecie Winnych
Ałbena Grabowska,5/2020,11739,941,17,"8,2",26017,Diuna
Frank Herbert,5/2020,3405,843,18,"7,8",6318,Piętno
Przemysław Piotrowski,5/2020,10980,716,19,"7,5",25495,Miłość w czasach zarazy
Gabriel García Márquez,5/2020,7028,763,20,"8,3",22074,Sapiens. Od zwierząt do bogów
Holly Black,4/2021,3728,506,41,"7,4",7918,Okrutny książę
Leigh Bardugo,4/2021,2255,233,42,"7,3",4415,Zniszczenie i odnowa
Katarzyna Małecka,4/2021,416,139,43,"8,2",735,Król południa
Przemysław Piotrowski,4/2021,3405,843,44,"7,8",6318,Piętno
Cora Reilly,4/2021,3100,363,45,"7,7",5369,Złączeni honorem
Margaret Atwood,4/2021,10625,1316,46,"7,3",23169,Opowieść podręcznej
Yuval Noah Harari,4/2021,7028,763,47,"8,3",22074,Sapiens. Od zwierząt do bogów
Vincent V. Severski,4/2021,191,41,48,"8,3",600,Nabór
Brandon Sanderson,4/2021,8259,923,49,"8,7",21777,Droga Królów
B.A. Paris,4/2021,20101,2752,50,"7,5",32891,Za zamkniętymi drzwiami
Diane Setterfield,4/2021,1876,442,51,"7,5",5919,Była sobie rzeka
Elizabeth Lim,4/2021,255,67,52,"7,5",1228,Tkając świt
Corinne Michaels,4/2021,10,1,53,"8,3",267,On jest dla mnie
Walter Tevis,4/2021,2261,385,54,"7,6",5478,Gambit królowej
Haruki Murakami,4/2021,11408,849,55,"7,4",21317,Norwegian Wood
Cora Reilly,4/2021,1052,225,56,"8,0",1869,Słodka pokusa
Izabela Janiszewska,4/2021,190,80,57,"8,2",494,Amok
Magdalena Majcher,4/2021,273,102,58,"8,2",803,Mocna więź
Colleen Hoover,4/2021,566,266,59,"7,9",1616,Layla
Kinga Litkowiec,4/2021,247,151,60,"7,5",376,Naomi
Paweł Nowak,4/2021,92,66,61,"7,8",155,Most Ikara
Sarah J. Maas,4/2021,10436,1161,62,"7,7",21143,Szklany tron
Leigh Bardugo,4/2021,4097,392,63,"8,6",8314,Królestwo kanciarzy
Viktor E. Frankl,4/2021,4708,491,64,"8,0",13631,Człowiek w poszukiwaniu sensu
Marah Woolf,4/2021,148,115,65,"7,6",795,Siostra gwiazd
Rebecca F. Kuang,4/2021,2084,378,66,"7,6",5847,Wojna makowa
Melanie Moreland,4/2021,581,117,67,"7,7",1055,Przeklęty kontrakt
Diana Gabaldon,4/2021,3251,438,68,"7,6",8611,Obca
Meghan March,4/2021,92,50,69,"7,3",410,Upadek legendy
Meg Adams,4/2021,473,144,70,"7,8",942,Gangsterskie porachunki
Jennifer Hillier,4/2021,201,127,71,"8,0",552,Ty będziesz następna
Remigiusz Mróz,4/2021,9987,1300,72,"7,4",16801,Behawiorysta
Brandon Sanderson,4/2021,13,2,73,"8,3",257,Rytm wojny. Część 2
Aneta Jadowska,4/2021,1883,378,74,"7,9",4070,Cud Miód Malina
Vi Keeland,4/2021,556,130,75,"7,4",1039,Rywale
Frank Herbert,4/2021,11739,941,76,"8,2",26017,Diuna
Mario Escobar,4/2021,88,56,77,"7,7",466,Bibliotekarka z Saint-Malo
Wojciech Chmielarz,4/2021,11,2,78,"7,9",325,Wilkołak
Alex Michaelides,4/2021,12495,1908,79,"7,4",21616,Pacjentka
Kennedy Fox,4/2021,200,51,80,"7,6",362,"Ten, ktorego pragnę"
Paulina Jurga,3/2021,354,163,81,"8,2",759,Matrioszka
Sarah J. Maas,3/2021,10436,1161,82,"7,7",21143,Szklany tron
Przemysław Piotrowski,3/2021,1808,463,83,"8,2",3115,Cherub
Nicholas Sparks,3/2021,658,218,84,"7,1",1385,Powrót
Remigiusz Mróz,3/2021,3925,402,85,"7,4",6171,Ekstradycja
George Orwell,3/2021,746,2359,86,"8,5",68582,Rok 1984
Kristin Hannah,3/2021,138,33,87,"7,9",808,Gdzie poniesie wiatr
Éric-Emmanuel Schmitt,3/2021,39077,3275,88,"8,2",61272,Oskar i pani Róża
Elif Shafak,3/2021,606,109,89,"7,5",2597,10 minut i 38 sekund na tym dziwnym świecie
Katarzyna Nowakowska,3/2021,280,134,90,"7,4",440,Femme fatale
Jakub Żulczyk,3/2021,11278,1329,91,"7,1",21868,Ślepnąc od świateł
Dmitry Glukhovsky,3/2021,22100,2139,92,"7,8",41168,Metro 2033
Emilia Szelest,3/2021,332,131,93,"7,5",680,Licho nie śpi
Marlon James,3/2021,65,31,94,"6,5",755,"Czarny Lampart, Czerwony Wilk"
Julia Quinn,3/2021,1155,145,95,"7,4",2138,Ktoś mnie pokochał
Tomasz Żak,3/2021,203,106,96,"6,5",505,Trzydziestka
I.M. Darkss,3/2021,113,19,97,"7,4",566,Ten zakazany
Harper Lee,3/2021,13550,1063,98,"8,2",34963,Zabić drozda
Anna Zaires,3/2021,293,75,99,"7,2",583,Rosyjski zabójca
Chairmaine Pauls,3/2021,20327,2355,100,"7,4",32738,Kasacja
Leigh Bardugo,4/2021,4007,451,1,"7,2",9123,Cień i kość
Leigh Bardugo,4/2021,5924,694,2,"8,3",14513,Szóstka wron
Natalia de Barbaro,4/2021,547,86,3,"7,4",1852,Czuła przewodniczka. Kobieca droga do siebie
Victoria Schwab,4/2021,1417,330,4,"7,8",5046,Niewidzialne życie Addie LaRue
B.A. Paris,4/2021,560,164,5,"7,5",1540,Terapeutka
Aldous Huxley,4/2021,18593,1322,6,"7,8",38247,Nowy wspaniały świat
Bernardine Evaristo,4/2021,133,34,7,"8,3",1586,"Dziewczyna, kobieta, inna"
Remigiusz Mróz,4/2021,1214,210,8,"7,2",2184,Afekt
Robert Małecki,4/2021,249,108,9,"7,9",933,Zmora
Shelby Mahurin,4/2021,1814,340,10,"7,4",4569,Gołąb i wąż
Sam Lloyd,4/2021,758,290,11,"7,9",2503,Schronisko
Corinne Michaels,4/2021,461,162,12,"7,7",830,Zawalcz o mnie
Joanna Bator,4/2021,877,229,13,"8,3",3326,"Gorzko, gorzko"
Delia Owens,4/2021,4412,751,14,"8,0",11621,Gdzie śpiewają raki
Christiane Felscherinow,3/2021,27761,1875,21,"7,5",45534,"My, dzieci z dworca ZOO"
Kristin Hannah,4/2021,138,33,15,"7,9",808,Gdzie poniesie wiatr
Melissa Darwood,4/2021,527,179,16,"8,4",851,Mój szef. Mój AS
Celia Aaron,4/2021,395,99,17,"7,9",724,Mężczyzna bez uczuć
Shelby Mahurin,4/2021,176,51,18,"7,2",1133,Krew i miód
Joanna Gierak-Onoszko,4/2021,3962,574,19,"8,2",10531,27 śmierci Toby’ego Obeda
Diane Setterfield,4/2021,2443,421,20,"7,7",6340,Trzynasta opowieść
Kai Hermann,3/2021,44032,4214,22,"8,2",78725,Cień wiatru
Carlos Ruiz Zafón,3/2021,20351,2787,23,"8,0",36120,Zanim się pojawiłeś
Jojo Moyes,3/2021,618,176,24,"7,8",1044,Ukochany wróg
Kristen Callihan,3/2021,383,124,25,"7,6",692,Idealny detektyw
Kristen Ashley,3/2021,1876,442,26,"7,5",5919,Była sobie rzeka
Diane Setterfield,3/2021,1184,227,27,"7,3",3016,Bezmatek
Mira Marcinów,3/2021,2443,421,28,"7,7",6340,Trzynasta opowieść
Diane Setterfield,3/2021,872,110,29,"9,3",1333,Miej go w d*pie
Damian Poprawa,3/2021,1564,453,30,"7,7",8882,Siedem sióstr
Lucinda Riley,3/2021,3405,843,31,"7,8",6318,Piętno
Przemysław Piotrowski,3/2021,9728,836,32,"7,5",16615,Inwigilacja
Remigiusz Mróz,3/2021,3164,381,61,"7,5",4957,Precedens
Remigiusz Mróz,3/2021,11408,849,33,"7,4",21317,Norwegian Wood
Haruki Murakami,3/2021,7028,763,34,"8,3",22074,Sapiens. Od zwierząt do bogów
Yuval Noah Harari,3/2021,556,130,35,"7,4",1039,Rywale
Vi Keeland,3/2021,243,56,36,"6,9",1091,Outpost
Dmitry Glukhovsky,3/2021,1883,378,37,"7,9",4070,Cud Miód Malina
Aneta Jadowska,3/2021,151,87,38,"7,4",367,Niewłaściwy facet
Anna Pamuła,3/2021,489,78,39,"7,7",2212,Ja i moje przyjaciółki idiotki
Joanna Okuniewska,3/2021,8415,1266,40,"8,3",17094,Słowik
Adam Leszczyński,3/2021,279,64,62,"7,8",2015,Ludowa historia Polski
Jakub Małecki,3/2021,2401,447,63,"7,7",4675,Saturnin
Marcin Iwuć,3/2021,725,347,64,"9,1",2157,Finansowa Forteca
Melanie Moreland,3/2021,581,117,65,"7,7",1055,Przeklęty kontrakt
Terri E. Laine,3/2021,490,92,66,"7,1",802,Money Man
Cora Reilly,3/2021,779,146,67,"8,0",1490,Złamana lojalność
Holly Black,3/2021,3728,506,68,"7,4",7918,Okrutny książę
Erin Morgenstern,3/2021,999,144,69,"8,3",3483,Bezgwiezdne Morze
Hanya Yanagihara,3/2021,11234,1851,70,"7,8",28746,Małe życie
Cora Reilly,3/2021,78,13,71,"8,5",429,Złamane emocje
Natalia de Barbaro,2/2021,547,86,81,"7,4",1852,Czuła przewodniczka. Kobieca droga do siebie
Przemek Corso,3/2021,128,97,72,"8,0",522,Serca twego chłód
Vincent V. Severski,3/2021,191,41,73,"8,3",600,Nabór
Remigiusz Mróz,3/2021,8409,692,74,"7,4",14030,Oskarżenie
Diana Gabaldon,3/2021,3251,438,75,"7,6",8611,Obca
Cora Reilly,3/2021,77,6,76,"8,2",772,Złączeni przeszłością
Szczepan Twardoch,3/2021,10134,1247,77,"7,7",18435,Król
Agustina Bazterrica,3/2021,939,296,78,"7,1",2108,Wyborny trup
Frank Herbert,3/2021,11739,941,79,"8,2",26017,Diuna
Casey McQuiston,3/2021,1616,341,80,"7,4",3897,"Red, White & Royal Blue"
Marcin Mortka,3/2021,313,82,41,"7,2",961,Nie ma tego Złego
Katarzyna Małecka,2/2021,385,116,82,"7,9",585,Blood from Blood. Ottavio
Diana Gabaldon,2/2021,3251,438,83,"7,6",8611,Obca
Colleen Hoover,2/2021,566,266,84,"7,9",1616,Layla
Hanna Krall,2/2021,15906,587,85,"7,4",27769,Zdążyć przed Panem Bogiem
Alicja Sinicka,2/2021,1609,490,86,"7,0",3213,Służąca
Radosław Kotarski,2/2021,2873,366,87,"7,9",8232,Włam się do mózgu
Katarzyna Małecka,2/2021,658,184,88,"7,5",1019,Blood from Blood. Vito
Lew Tołstoj,2/2021,12057,767,89,"7,8",31588,Anna Karenina
Robert Galbraith,2/2021,1100,198,90,"7,9",2172,Niespokojna krew
Leigh Bardugo,2/2021,463,76,91,"7,2",2138,Dziewiąty dom
Bridget Collins,2/2021,688,149,92,"7,1",2914,Księgi zapomnianych żyć
K. Bromberg,2/2021,204,56,93,"7,3",515,... i wtedy cię poznałem
Fiodor Dostojewski,2/2021,5587,1681,94,"8,2",59875,Zbrodnia i kara
Anna Głowacz,2/2021,52,11,95,"8,1",204,Gwiezdne Dzieci. Świadomość
Szczepan Twardoch,3/2021,1932,325,42,"7,6",4495,Pokora
Viktor E. Frankl,3/2021,4708,491,43,"8,0",13631,Człowiek w poszukiwaniu sensu
Rebecca F. Kuang,3/2021,2084,378,44,"7,6",5847,Wojna makowa
Corinne Michaels,3/2021,461,162,45,"7,7",830,Zawalcz o mnie
Sarah J. Maas,3/2021,8186,1011,46,"7,8",15770,Dwór cierni i róż
Elizabeth Lim,3/2021,255,67,47,"7,5",1228,Tkając świt
Kate Simants,3/2021,314,172,48,"7,4",710,W zamknięciu
Alex Michaelides,3/2021,12495,1908,49,"7,4",21616,Pacjentka
B.A. Paris,3/2021,20101,2752,50,"7,5",32891,Za zamkniętymi drzwiami
Katarzyna Nosowska,3/2021,3730,517,51,"7,3",6171,Powrót z Bambuko
Brandon Sanderson,3/2021,232,31,52,"8,6",1377,Rytm wojny. Część 1
Radosław Kotarski,3/2021,2873,366,53,"7,9",8232,Włam się do mózgu
Ałbena Grabowska,3/2021,1006,149,54,"8,1",2338,Stulecie Winnych
Victoria Schwab,3/2021,1417,330,1,"7,8",5046,Niewidzialne życie Addie LaRue
K.N. Haner,2/2021,142,81,96,"7,4",470,Prawo Mafii. Pierwsza polska antologia mafijna
 K. C. Hiddenstorm,2/2021,2207,349,97,"7,8",5305,Ukochane równanie profesora
Yōko Ogawa,2/2021,13550,1063,98,"8,2",34963,Zabić drozda
Harper Lee,2/2021,335,135,99,"7,4",1493,Wybrańcy
Veronica Roth,2/2021,450,144,100,"7,6",1070,Sprośne listy
Agnieszka Lingas-Łoniewska,3/2021,373,103,55,"7,8",615,Revenge
Sarah J. Maas,3/2021,79,18,56,"7,7",828,A Court of Silver Flames
Daniel Kahneman,3/2021,1913,210,57,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Margaret Atwood,3/2021,10625,1316,58,"7,3",23169,Opowieść podręcznej
Rebecca Makkai,3/2021,1220,217,59,"7,8",4378,Wierzyliśmy jak nikt
Brandon Sanderson,3/2021,8259,923,60,"8,7",21777,Droga Królów
Aldous Huxley,3/2021,18593,1322,2,"7,8",38247,Nowy wspaniały świat
Remigiusz Mróz,3/2021,1214,210,3,"7,2",2184,Afekt
Natalia de Barbaro,3/2021,547,86,4,"7,4",1852,Czuła przewodniczka. Kobieca droga do siebie
Sam Lloyd,3/2021,758,290,5,"7,9",2503,Schronisko
Leigh Bardugo,3/2021,4007,451,6,"7,2",9123,Cień i kość
Agata Polte,3/2021,551,236,7,"8,1",953,Żelazne zasady
Cora Reilly,3/2021,1052,225,8,"8,0",1869,Słodka pokusa
Joanna Bator,3/2021,877,229,9,"8,3",3326,"Gorzko, gorzko"
Katarzyna Małecka,3/2021,416,139,10,"8,2",735,Król południa
Kristin Hannah,3/2021,852,142,11,"7,5",1794,Firefly Lane
Delia Owens,3/2021,4412,751,12,"8,0",11621,Gdzie śpiewają raki
Joanna Gierak-Onoszko,3/2021,3962,574,13,"8,2",10531,27 śmierci Toby’ego Obeda
Magdalena Majcher,3/2021,273,102,14,"8,2",803,Mocna więź
J.T. Geissinger,3/2021,702,169,15,"7,9",1094,Kontrakt Jacksona
Corinne Michaels,3/2021,721,213,16,"7,6",1359,Wróć do mnie
Walter Tevis,3/2021,2261,385,17,"7,6",5478,Gambit królowej
Leigh Bardugo,3/2021,5924,694,18,"8,3",14513,Szóstka wron
Colleen Hoover,3/2021,566,266,19,"7,9",1616,Layla
Cora Reilly,3/2021,3100,363,20,"7,7",5369,Złączeni honorem
Brit Bennett,2/2021,576,95,61,"7,6",2056,Moja znikająca połowa
Adam Leszczyński,2/2021,279,64,62,"7,8",2015,Ludowa historia Polski
Hanya Yanagihara,2/2021,11234,1851,63,"7,8",28746,Małe życie
Paulina Świst,2/2021,1777,462,64,"7,1",2696,Paprocany
Anna Cieślar,2/2021,283,108,65,"7,6",1200,Berdo
Michaił Bułhakow,2/2021,2864,2854,66,"8,4",80814,Mistrz i Małgorzata
Sarah J. Maas,2/2021,79,18,67,"7,7",828,A Court of Silver Flames
Aneta Jadowska,2/2021,1883,378,68,"7,9",4070,Cud Miód Malina
Kate Elizabeth Russell,2/2021,998,239,69,"7,8",3201,Moja mroczna Vanesso
Daniel Kahneman,2/2021,1913,210,70,"8,0",13441,Pułapki myślenia. O myśleniu szybkim i wolnym
Anna Zaires,2/2021,293,75,71,"7,2",583,Rosyjski zabójca
Chairmaine Pauls,2/2021,20101,2752,72,"7,5",32891,Za zamkniętymi drzwiami
B.A. Paris,2/2021,388,122,73,"7,2",808,Tylko rok
Penelope Ward,2/2021,4839,903,74,"7,1",7653,Wyrwa
Wojciech Chmielarz,2/2021,11739,941,75,"8,2",26017,Diuna
Frank Herbert,2/2021,27761,1875,76,"7,5",45534,"My, dzieci z dworca ZOO"
Christiane Felscherinow,2/2021,406,126,77,"7,5",1849,Cyklon
Kai Hermann,2/2021,256,151,78,"7,2",461,Zagrywka
Przemysław Semczuk,2/2021,205,47,79,"7,0",494,Halny
Katarzyna Nowakowska,2/2021,8186,1011,80,"7,8",15770,Dwór cierni i róż
Diane Setterfield,2/2021,1876,442,21,"7,5",5919,Była sobie rzeka
Elif Shafak,2/2021,606,109,22,"7,5",2597,10 minut i 38 sekund na tym dziwnym świecie
Lucinda Riley,2/2021,1564,453,23,"7,7",8882,Siedem sióstr
Agustina Bazterrica,2/2021,939,296,24,"7,1",2108,Wyborny trup
Diane Setterfield,2/2021,2443,421,25,"7,7",6340,Trzynasta opowieść
Marek Marcinowski,2/2021,55,55,26,"8,7",73,Kosmoliski
J.T. Geissinger,2/2021,702,169,27,"7,9",1094,Kontrakt Jacksona
Przemysław Piotrowski,2/2021,3405,843,28,"7,8",6318,Piętno
Abby Jimenez,2/2021,2132,475,29,"7,6",3796,To tylko przyjaciel
